Año,Trimestre,Provincia,Accesos por cada 100 hogares
2016,2,Catamarca,26.0741880597406
2016,2,Chaco,28.5935505552226
2016,2,Chubut,36.1243856555634
2016,2,Cordoba,57.5479805282864
2016,2,Corrientes,30.5801620466166
2016,2,Entre Rios,44.7388745451874
2016,2,Formosa,19.370070664564
2016,2,Jujuy,21.8882810435767
2016,2,La Pampa,60.4368602573793
2016,2,La Rioja,16.8789026111115
2016,2,Mendoza,32.1259717944259
2016,2,Misiones,29.239512823022
2016,2,Neuquen,59.098285533662
2016,2,Rio Negro,46.2401130781274
2016,2,Salta,32.081726025082
2016,2,San Juan,27.3407815140911
2016,2,San Luis,9.60373385160232
2016,2,Santa Cruz,26.7289117253198
2016,2,Santa Fe,52.4364772593711
2016,2,Santiago Del Estero,15.8889250473061
2016,2,Tierra Del Fuego,67.7182428825529
2016,2,Tucuman,37.2356828933842
2016,3,Buenos Aires,60.1432954546882
2016,3,Capital Federal,120.772877751015
2016,3,Catamarca,26.4806767574637
2016,3,Chaco,28.910749068481
2016,3,Chubut,36.1786944287865
2016,3,Cordoba,58.243816258032
2016,3,Corrientes,31.0668788260512
2016,3,Entre Rios,45.4351408844733
2016,3,Formosa,18.6397083028628
2016,3,Jujuy,22.6051542652569
2016,3,La Pampa,61.7317854365091
2016,3,La Rioja,17.0745591064841
2016,3,Mendoza,32.0883588456665
2016,3,Misiones,29.9053857758982
2016,3,Neuquen,60.2148508885395
2016,3,Rio Negro,46.3879653621594
2016,3,Salta,32.9558316811803
2016,3,San Juan,27.3171271359908
2016,3,San Luis,9.63053968688516
2016,3,Santa Cruz,26.8352018954507
2016,3,Santa Fe,52.6721503688625
2016,3,Santiago Del Estero,15.3296465784729
2016,3,Tierra Del Fuego,68.9404924910074
2016,3,Tucuman,37.8973634102384
2016,4,Buenos Aires,61.2365874303569
2016,4,Capital Federal,120.631331736324
2016,4,Catamarca,26.5435155899619
2016,4,Chaco,28.7866560852553
2016,4,Chubut,36.072905464279
2016,4,Cordoba,57.696719154379
2016,4,Corrientes,30.9810703764977
2016,4,Entre Rios,45.208402854677
2016,4,Formosa,19.8482360781639
2016,4,Jujuy,22.6513870082414
2016,4,La Pampa,63.016182768654
2016,4,La Rioja,16.4553163840162
2016,4,Mendoza,32.10735338479
2016,4,Misiones,29.7201498077974
2016,4,Neuquen,60.8736672281991
2016,4,Rio Negro,46.3852103506557
2016,4,Salta,32.6941197393755
2016,4,San Juan,27.2924214521971
2016,4,San Luis,9.64068243537056
2016,4,Santa Cruz,27.0467602148458
2016,4,Santa Fe,52.191050237189
2016,4,Santiago Del Estero,15.0678475104333
2016,4,Tierra Del Fuego,70.3052659053947
2016,4,Tucuman,37.9807622036193
2017,1,Buenos Aires,58.5740024492033
2017,1,Capital Federal,108.369208365608
2017,1,Catamarca,25.6593508380215
2017,1,Chaco,28.6216605384279
2017,1,Chubut,35.662220237763
2017,1,Cordoba,57.6533295928744
2017,1,Corrientes,30.9406001096441
2017,1,Entre Rios,44.9072736870412
2017,1,Formosa,19.8424891786459
2017,1,Jujuy,22.7569859622323
2017,1,La Pampa,62.6692810457516
2017,1,La Rioja,16.1955241460542
2017,1,Mendoza,31.8430127701797
2017,1,Misiones,29.522202363131
2017,1,Neuquen,61.0230200678275
2017,1,Rio Negro,46.0295387411952
2017,1,Salta,32.5754893148231
2017,1,San Juan,27.0367609884239
2017,1,San Luis,9.5455001936789
2017,1,Santa Cruz,26.5249917378546
2017,1,Santa Fe,51.9701076920804
2017,1,Santiago Del Estero,14.7021194933686
2017,1,Tierra Del Fuego,68.9197485128813
2017,1,Tucuman,37.900160758941
2017,2,Buenos Aires,56.2721441616913
2017,2,Capital Federal,124.061393756425
2017,2,Catamarca,25.9771210676835
2017,2,Chaco,29.0455247754534
2017,2,Chubut,35.5460111791441
2017,2,Cordoba,58.9735289080036
2017,2,Corrientes,31.386121368355
2017,2,Entre Rios,45.3893310282472
2017,2,Formosa,19.965076445262
2017,2,Jujuy,22.4034158946241
2017,2,La Pampa,63.4935264809968
2017,2,La Rioja,16.2034458061436
2017,2,Mendoza,31.7586053613908
2017,2,Misiones,30.0892480250859
2017,2,Neuquen,61.9101342766616
2017,2,Rio Negro,46.0208051229332
2017,2,Salta,32.7394202636262
2017,2,San Juan,26.964616120247
2017,2,San Luis,9.5139703148683
2017,2,Santa Cruz,26.2486198287096
2017,2,Santa Fe,52.2696112396987
2017,2,Santiago Del Estero,14.118988073972
2017,2,Tierra Del Fuego,68.4632207595576
2017,2,Tucuman,38.1862336563929
2017,3,Buenos Aires,55.6293833953396
2017,3,Capital Federal,121.858325909693
2017,3,Catamarca,32.4909256779052
2017,3,Chaco,29.9759256476576
2017,3,Chubut,46.2153774665184
2017,3,Cordoba,62.3070022529633
2017,3,Corrientes,32.165435745938
2017,3,Entre Rios,45.9581216701772
2017,3,Formosa,21.3503843800708
2017,3,Jujuy,22.6453629950826
2017,3,La Pampa,69.1399370114264
2017,3,La Rioja,51.465252304947
2017,3,Mendoza,35.7049317772057
2017,3,Misiones,30.2059909330319
2017,3,Neuquen,60.8304131050389
2017,3,Rio Negro,48.5186589395006
2017,3,Salta,39.8397008069074
2017,3,San Juan,32.3668893599598
2017,3,San Luis,15.4778617902981
2017,3,Santa Cruz,33.2918297165896
2017,3,Santa Fe,60.9063556345152
2017,3,Santiago Del Estero,35.1210448843849
2017,3,Tierra Del Fuego,65.7418047343459
2017,3,Tucuman,39.6953791612326
2017,4,Buenos Aires,57.6096152902582
2017,4,Capital Federal,122.89742418735
2017,4,Catamarca,28.6209500939249
2017,4,Chaco,30.8081581112365
2017,4,Chubut,51.4630962674935
2017,4,Cordoba,63.3326256520777
2017,4,Corrientes,32.5151183111876
2017,4,Entre Rios,47.8852452937468
2017,4,Formosa,21.2709766892497
2017,4,Jujuy,22.742083716267
2017,4,La Pampa,71.0497610637856
2017,4,La Rioja,51.5684744054618
2017,4,Mendoza,33.3256255341505
2017,4,Misiones,31.1421848537985
2017,4,Neuquen,61.242323177851
2017,4,Rio Negro,49.3756297682453
2017,4,Salta,39.796242471459
2017,4,San Juan,30.2999291912817
2017,4,San Luis,10.5867310697542
2017,4,Santa Cruz,28.9124928828068
2017,4,Santa Fe,61.7127712196729
2017,4,Santiago Del Estero,29.1263861095011
2017,4,Tierra Del Fuego,59.8941359626362
2017,4,Tucuman,39.8968735176797
2018,1,Buenos Aires,62.6262116616845
2018,1,Capital Federal,106.235671745868
2018,1,Catamarca,32.7936161374153
2018,1,Chaco,30.8299276457025
2018,1,Chubut,53.7156048824891
2018,1,Cordoba,63.5171696520162
2018,1,Corrientes,32.6634608731751
2018,1,Entre Rios,48.6812024178572
2018,1,Formosa,21.4043102592114
2018,1,Jujuy,23.1212608756775
2018,1,La Pampa,71.751636922758
2018,1,La Rioja,51.4435101124481
2018,1,Mendoza,37.0721511024033
2018,1,Misiones,30.9567358844696
2018,1,Neuquen,61.5173903515637
2018,1,Rio Negro,49.8168613122324
2018,1,Salta,39.7755916329188
2018,1,San Juan,32.6091774516929
2018,1,San Luis,15.1487903482749
2018,1,Santa Cruz,33.5527598985762
2018,1,Santa Fe,62.2819984430096
2018,1,Santiago Del Estero,34.9882694482421
2018,1,Tierra Del Fuego,65.1996370235935
2018,1,Tucuman,41.1760093888662
2018,2,Buenos Aires,62.7822665109499
2018,2,Capital Federal,106.534941281467
2018,2,Catamarca,32.8575008674866
2018,2,Chaco,31.2517049960349
2018,2,Chubut,54.9023033373551
2018,2,Cordoba,63.2743661231958
2018,2,Corrientes,33.8097539088117
2018,2,Entre Rios,49.2026118705284
2018,2,Formosa,29.434226520797
2018,2,Jujuy,23.4322027298545
2018,2,La Pampa,71.0403378727806
2018,2,La Rioja,50.9778907392324
2018,2,Mendoza,36.9728727240613
2018,2,Misiones,31.6309076822218
2018,2,Neuquen,60.2367916140203
2018,2,Rio Negro,50.1478946239634
2018,2,Salta,39.9371920998973
2018,2,San Juan,32.9466488486842
2018,2,San Luis,15.1504244913514
2018,2,Santa Cruz,33.3323645100661
