Año,Trimestre,Provincia,Mbps (Media de bajada)
2017,1,Jujuy,4.39386125963475
2017,1,La Pampa,3.22081358421833
2017,1,La Rioja,5.42718047337278
2017,1,Mendoza,3.5072942051441
2017,1,Misiones,7.34104198891632
2017,1,Neuquen,6.03483614442139
2017,1,Rio Negro,4.44944887797169
2017,1,Salta,5.33537121782187
2017,1,San Juan,3.49243516124643
2017,1,San Luis,3.50282414997505
2017,1,Santa Cruz,3.59193007563632
2017,1,Santa Fe,6.28403648689241
2017,1,Santiago Del Estero,4.94896583328499
2017,1,Tierra Del Fuego,3.47676146737609
2017,1,Tucuman,5.87550732569558
2017,2,Buenos Aires,7.19874775188798
2017,2,Capital Federal,8.84321983078825
2017,2,Catamarca,5.10218282589971
2017,2,Chaco,7.68921343354413
2017,2,Chubut,3.44726909222351
2017,2,Cordoba,7.42132179907677
2017,2,Corrientes,6.79158048260705
2017,2,Entre Rios,6.28781010629277
2017,2,Formosa,6.1786533146405
2017,2,Jujuy,4.54186187819401
2017,2,La Pampa,3.31825936149611
2017,2,La Rioja,5.53385510805501
2017,2,Mendoza,3.50725586321512
2017,2,Misiones,7.60433849052066
2017,2,Neuquen,6.70061069844688
2017,2,Rio Negro,4.74135085738145
2017,2,Salta,5.75621313483984
2017,2,San Juan,3.49203380952381
2017,2,San Luis,3.50282414997505
2017,2,Santa Cruz,3.60311348968991
2017,2,Santa Fe,6.8387492504462
2017,2,Santiago Del Estero,5.05794740805446
2017,2,Tierra Del Fuego,3.47676146737609
2017,2,Tucuman,6.09328044562472
2017,3,Buenos Aires,8.42570621185365
2017,3,Capital Federal,10.6357202740733
2017,3,Catamarca,5.26001806671356
2017,3,Chaco,8.4848712875555
2017,3,Chubut,3.47834691566909
2017,3,Cordoba,9.11557287304998
2017,3,Corrientes,7.44741642808526
2017,3,Entre Rios,6.99340063934965
2017,3,Formosa,7.06882153411281
2017,3,Jujuy,4.6890067253692
2017,3,La Pampa,3.43810111433207
2017,3,La Rioja,5.01009020876666
2017,3,Mendoza,3.51296266166304
2017,3,Misiones,8.43038302528699
2017,3,Neuquen,8.16517738570226
2017,3,Rio Negro,5.48727880467388
2017,3,Salta,6.13314620689655
2017,3,San Juan,3.44978420649118
2017,3,San Luis,3.50338739319684
2017,3,Santa Cruz,3.61047050575864
2017,3,Santa Fe,7.79221514839974
2017,3,Santiago Del Estero,5.17855807833537
2017,3,Tierra Del Fuego,3.47535827186512
2017,3,Tucuman,6.3851768015554
2017,4,Buenos Aires,12.9720825438982
2017,4,Capital Federal,15.2022188691604
2017,4,Catamarca,7.78415435139573
2017,4,Chaco,11.7028681219594
2017,4,Chubut,5.40823807689014
2017,4,Cordoba,11.6365847011566
2017,4,Corrientes,10.384400430892
2017,4,Entre Rios,9.29596061999907
2017,4,Formosa,10.1141704637663
2017,4,Jujuy,6.63882127356649
2017,4,La Pampa,3.9758194449815
2017,4,La Rioja,5.87758884950666
2017,4,Mendoza,5.71002586675844
2017,4,Misiones,11.3241237232496
2017,4,Neuquen,10.7191515245403
2017,4,Rio Negro,8.04552232467275
2017,4,Salta,8.45174276777563
2017,4,San Juan,5.83226007301013
2017,4,San Luis,5.73220880135405
2017,4,Santa Cruz,5.20658482887451
2017,4,Santa Fe,10.2974946018472
2017,4,Santiago Del Estero,6.16560021498504
2017,4,Tierra Del Fuego,5.20322570453684
2017,4,Tucuman,9.10602130718706
2018,1,Buenos Aires,14.1988896446809
2018,1,Capital Federal,17.7455773041801
2018,1,Catamarca,8.19886052871468
2018,1,Chaco,12.444064678645
2018,1,Chubut,5.41863793882778
2018,1,Cordoba,12.7905712174005
2018,1,Corrientes,11.1185028652536
2018,1,Entre Rios,9.87523936699876
2018,1,Formosa,11.0568153674695
2018,1,Jujuy,6.74118587938453
2018,1,La Pampa,3.9951313520641
2018,1,La Rioja,5.89082060411163
2018,1,Mendoza,5.88162696916937
2018,1,Misiones,12.082189465143
2018,1,Neuquen,11.9604599560741
2018,1,Rio Negro,8.97624319436158
2018,1,Salta,9.1894409821995
2018,1,San Juan,5.85058103554975
2018,1,San Luis,5.89436270457927
2018,1,Santa Cruz,5.18928995085579
2018,1,Santa Fe,11.173305005746
2018,1,Santiago Del Estero,6.24821072216304
2018,1,Tierra Del Fuego,5.76808203603288
2018,1,Tucuman,9.35563168480611
2018,2,Buenos Aires,14.6793755121758
2018,2,Capital Federal,18.9381345892782
2018,2,Catamarca,7.69309650745294
2018,2,Chaco,12.4994601819958
2018,2,Chubut,5.32985773059891
2018,2,Cordoba,13.8768094063495
2018,2,Corrientes,10.8776528955992
2018,2,Entre Rios,10.18670275176
2018,2,Formosa,8.97498653077717
2018,2,Jujuy,6.28934558921364
2018,2,La Pampa,4.09836417105747
2018,2,La Rioja,5.59186158436808
2018,2,Mendoza,5.88052966304504
2018,2,Misiones,11.759657402552
2018,2,Neuquen,13.365011560108
2018,2,Rio Negro,9.50959511437395
2018,2,Salta,8.92827170644268
2018,2,San Juan,5.84559783069231
2018,2,San Luis,5.90057518488085
2018,2,Santa Cruz,5.18928995085579
2018,2,Santa Fe,11.7488846228176
2018,2,Santiago Del Estero,5.91100164699838
2018,2,Tierra Del Fuego,5.94274505737592
2018,2,Tucuman,13.5065457296271
2018,3,Buenos Aires,16.7797351323622
2018,3,Capital Federal,21.6433683640614
2018,3,Catamarca,7.80652194153063
2018,3,Chaco,12.8949618906093
2018,3,Chubut,6.07672232294286
2018,3,Cordoba,14.8182495375679
2018,3,Corrientes,11.4932283654571
2018,3,Entre Rios,10.5247535062873
2018,3,Formosa,9.31849544106828
2018,3,Jujuy,7.66987215181415
2018,3,La Pampa,4.28304837616766
2018,3,La Rioja,6.1560132256261
2018,3,Mendoza,5.78601567715813
2018,3,Misiones,12.4874857587211
2018,3,Neuquen,14.6742442866248
2018,3,Rio Negro,10.0644600810675
2018,3,Salta,9.26584817756241
2018,3,San Juan,5.73820472587736
2018,3,San Luis,8.81498757935413
2018,3,Santa Cruz,5.36971571660038
2018,3,Santa Fe,12.3573260434886
2018,3,Santiago Del Estero,5.77984251236905
2018,3,Tierra Del Fuego,5.98788374717833
2018,3,Tucuman,15.2559503624883
2018,4,Buenos Aires,16.9343630101501
2018,4,Capital Federal,22.9353019922347
2018,4,Catamarca,8.04392020265991
2018,4,Chaco,13.4920835702103
2018,4,Chubut,6.08522390368403
2018,4,Cordoba,15.8136674336298
2018,4,Corrientes,12.1389233933877
2018,4,Entre Rios,11.023282490377
2018,4,Formosa,9.8168937119138
2018,4,Jujuy,8.56273760175261
2018,4,La Pampa,4.31909495794348
2018,4,La Rioja,7.09338212515489
2018,4,Mendoza,5.74667510243432
2018,4,Misiones,12.4951126741558
2018,4,Neuquen,15.8912336460704
2018,4,Rio Negro,10.4870055652755
2018,4,Salta,10.4572840891359
2018,4,San Juan,5.71526653935785
2018,4,San Luis,8.81899279190052
2018,4,Santa Cruz,5.11950736477287
2018,4,Santa Fe,13.1792348999695
2018,4,Santiago Del Estero,6.30925524385175
2018,4,Tierra Del Fuego,7.43656200821403
